"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 28 06:54:40 GMT 2023","Sun May 28 06:54:40 GMT 2023","143","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageHeadersValueTest","accPageHeadersValueTest",""
"passed","Sun May 28 06:54:40 GMT 2023","Sun May 28 06:54:40 GMT 2023","22","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageURLTest","accPageURLTest",""
"broken","Sun May 28 06:54:37 GMT 2023","Sun May 28 06:54:42 GMT 2023","5404","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginPageTitleTest","loginPageTitleTest","....checking the title of the page.... tester: Naveen"
"passed","Sun May 28 06:54:43 GMT 2023","Sun May 28 06:54:45 GMT 2023","2300","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductCountTest","searchProductCountTest",""
"passed","Sun May 28 06:54:45 GMT 2023","Sun May 28 06:54:49 GMT 2023","3658","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductTest","searchProductTest",""
"passed","Sun May 28 06:54:57 GMT 2023","Sun May 28 06:55:00 GMT 2023","3253","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 06:54:43 GMT 2023","Sun May 28 06:54:43 GMT 2023","28","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginPageURLTest","loginPageURLTest","....checking the url of the page.... tester: Naveen"
"passed","Sun May 28 06:54:40 GMT 2023","Sun May 28 06:54:40 GMT 2023","18","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageTitleTest","accPageTitleTest",""
"passed","Sun May 28 06:55:00 GMT 2023","Sun May 28 06:55:03 GMT 2023","2656","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 06:54:43 GMT 2023","Sun May 28 06:54:43 GMT 2023","87","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","forgotPwdLinkExistTest","forgotPwdLinkExistTest","....checking forgot pwd link exist.... tester: Naveen"
"passed","Sun May 28 06:54:40 GMT 2023","Sun May 28 06:54:40 GMT 2023","87","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","isLogoutLinkExistTest","isLogoutLinkExistTest",""
"passed","Sun May 28 06:54:41 GMT 2023","Sun May 28 06:54:43 GMT 2023","2215","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductCountTest","searchProductCountTest",""
"passed","Sun May 28 06:54:49 GMT 2023","Sun May 28 06:54:57 GMT 2023","8433","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"passed","Sun May 28 06:54:55 GMT 2023","Sun May 28 06:54:57 GMT 2023","2372","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 06:54:39 GMT 2023","Sun May 28 06:54:49 GMT 2023","9500","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"failed","Sun May 28 06:54:46 GMT 2023","Sun May 28 06:54:52 GMT 2023","5472","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","addtToCartTest","addtToCartTest",""
"passed","Sun May 28 06:54:40 GMT 2023","Sun May 28 06:54:40 GMT 2023","214","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageHeadersCountTest","accPageHeadersCountTest",""
"passed","Sun May 28 06:54:57 GMT 2023","Sun May 28 06:55:06 GMT 2023","8467","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"passed","Sun May 28 06:54:52 GMT 2023","Sun May 28 06:54:55 GMT 2023","2450","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 06:54:43 GMT 2023","Sun May 28 06:54:46 GMT 2023","2841","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginTest","loginTest","....checking user is able to login to app with correct username and password...."
"failed","Sun May 28 06:54:40 GMT 2023","Sun May 28 06:54:46 GMT 2023","6761","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","addtToCartTest","addtToCartTest",""
"failed","Sun May 28 06:55:03 GMT 2023","Sun May 28 06:55:06 GMT 2023","2749","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productInfoTest","productInfoTest",""
