"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 28 07:33:27 GMT 2023","Sun May 28 07:33:29 GMT 2023","1996","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 07:33:16 GMT 2023","Sun May 28 07:33:16 GMT 2023","107","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","isLogoutLinkExistTest","isLogoutLinkExistTest",""
"passed","Sun May 28 07:33:15 GMT 2023","Sun May 28 07:33:23 GMT 2023","8467","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"passed","Sun May 28 07:33:23 GMT 2023","Sun May 28 07:33:31 GMT 2023","7527","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"passed","Sun May 28 07:33:16 GMT 2023","Sun May 28 07:33:16 GMT 2023","11","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageTitleTest","accPageTitleTest",""
"passed","Sun May 28 07:33:31 GMT 2023","Sun May 28 07:33:34 GMT 2023","2330","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 07:33:19 GMT 2023","Sun May 28 07:33:23 GMT 2023","3346","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductTest","searchProductTest",""
"passed","Sun May 28 07:33:34 GMT 2023","Sun May 28 07:33:36 GMT 2023","2072","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 07:33:31 GMT 2023","Sun May 28 07:33:38 GMT 2023","7369","Opencart App Test Regression Suite","Register Page Test_chrome","com.qa.opencart.tests.RegisterPageTest","com.qa.opencart.tests.RegisterPageTest","userRegTest","userRegTest",""
"failed","Sun May 28 07:33:15 GMT 2023","Sun May 28 07:33:22 GMT 2023","6447","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","addtToCartTest","addtToCartTest",""
"broken","Sun May 28 07:33:13 GMT 2023","Sun May 28 07:33:18 GMT 2023","5373","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginPageTitleTest","loginPageTitleTest","....checking the title of the page.... tester: Naveen"
"failed","Sun May 28 07:33:36 GMT 2023","Sun May 28 07:33:39 GMT 2023","2731","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productInfoTest","productInfoTest",""
"passed","Sun May 28 07:33:16 GMT 2023","Sun May 28 07:33:16 GMT 2023","41","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageURLTest","accPageURLTest",""
"passed","Sun May 28 07:33:19 GMT 2023","Sun May 28 07:33:22 GMT 2023","2582","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginTest","loginTest","....checking user is able to login to app with correct username and password...."
"failed","Sun May 28 07:33:22 GMT 2023","Sun May 28 07:33:27 GMT 2023","5014","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","addtToCartTest","addtToCartTest",""
"passed","Sun May 28 07:33:18 GMT 2023","Sun May 28 07:33:19 GMT 2023","1845","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductCountTest","searchProductCountTest",""
"passed","Sun May 28 07:33:19 GMT 2023","Sun May 28 07:33:19 GMT 2023","23","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","loginPageURLTest","loginPageURLTest","....checking the url of the page.... tester: Naveen"
"passed","Sun May 28 07:33:15 GMT 2023","Sun May 28 07:33:15 GMT 2023","185","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageHeadersCountTest","accPageHeadersCountTest",""
"passed","Sun May 28 07:33:29 GMT 2023","Sun May 28 07:33:31 GMT 2023","1990","Opencart App Test Regression Suite","Product Info Page Test_chrome","com.qa.opencart.tests.ProductPageInfoTest","com.qa.opencart.tests.ProductPageInfoTest","productImagesCountTest","productImagesCountTest",""
"passed","Sun May 28 07:33:15 GMT 2023","Sun May 28 07:33:16 GMT 2023","127","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","accPageHeadersValueTest","accPageHeadersValueTest",""
"passed","Sun May 28 07:33:16 GMT 2023","Sun May 28 07:33:18 GMT 2023","1816","Opencart App Test Regression Suite","Accounts Page Test_chrome","com.qa.opencart.tests.AccountsPageTest","com.qa.opencart.tests.AccountsPageTest","searchProductCountTest","searchProductCountTest",""
"passed","Sun May 28 07:33:19 GMT 2023","Sun May 28 07:33:19 GMT 2023","119","Opencart App Test Regression Suite","Login Page Test_chrome","com.qa.opencart.tests.LoginPageTest","com.qa.opencart.tests.LoginPageTest","forgotPwdLinkExistTest","forgotPwdLinkExistTest","....checking forgot pwd link exist.... tester: Naveen"
